Date,PC1_Variance_Ratio,KMO_Value,N_Components_Kaiser,N_Stocks,PC1_Sign_Mean,Top_10_Eigenvalues
2023-01-04,0.3713262817342492,0.8024662609760441,68,477,0.04468273927254895,"[177.47476887  30.46435944  28.09718349  10.85843107   8.72159984
   7.24051815   6.47850192   5.64760427   5.33269181   4.43356697]"
2023-01-11,0.37260035108194933,0.8325788278874411,68,477,0.04468578227366958,"[178.08370816  30.43224873  27.57361011  10.84678338   8.63506595
   7.14982899   6.40943723   5.6073839    5.38895068   4.48378773]"
2023-01-19,0.3746096693430277,0.8098927990584209,69,477,0.04470495614278724,"[179.04405842  30.30897813  27.38213438  10.91956676   8.55145295
   7.07982705   6.38114786   5.55379078   5.43644467   4.46950548]"
2023-01-26,0.37589188925727235,0.8060623381192816,69,477,0.044707800335523046,"[179.65689327  30.21083425  27.25074871  10.95348921   8.54389336
   7.03024981   6.471291     5.57248298   5.44100654   4.49409708]"
2023-02-02,0.37470833838052064,0.8008830475041208,68,477,0.04471978138034051,"[179.09121712  30.55489321  27.49098872  11.05861387   8.63153697
   6.67569589   6.29429256   5.62427134   5.47686045   4.53030858]"
2023-02-09,0.3742136181182778,0.788037690837792,69,477,0.04471501294691832,"[178.85476641  30.59594096  27.49551739  11.14832897   8.78764909
   6.77801596   6.31046735   5.76349353   5.47581385   4.45657072]"
2023-02-16,0.37528663337873447,0.7935336751863437,69,477,0.044720577106625435,"[179.36761224  30.77475594  27.38639995  11.24870485   8.7710165
   6.76337423   6.29998803   5.80303304   5.47758299   4.43257223]"
2023-02-24,0.378350251083494,0.769792853178625,68,477,0.04472498761900575,"[180.83186315  30.74879739  26.61350478  11.32101687   8.72430974
   6.76706415   6.27770945   5.80735888   5.36940831   4.43278008]"
2023-03-03,0.37648953165629373,0.778594515088943,68,477,0.04471963658051112,"[179.94253544  30.63218754  26.72477809  11.45823975   8.79408195
   6.83297241   6.31394187   5.85439565   5.373526     4.40580842]"
2023-03-10,0.37894202736457416,0.7600745707576289,68,477,0.04471789565320509,"[181.11470162  30.40095827  25.92793873  11.35045795   8.72895966
   6.93814004   6.33567732   5.95135824   5.27444963   4.44082115]"
2023-03-17,0.37923977220027244,0.7934881703962583,67,477,0.0447066166766736,"[181.25700826  30.46539037  25.94243918  11.335505     8.76856713
   6.95634862   6.55472235   5.90715451   5.27873152   4.47555375]"
2023-03-24,0.38272371569636426,0.8062097593393477,67,477,0.044731581667686544,"[182.92215317  30.41014202  25.84997078  11.11178924   8.75496096
   6.9634629    6.46239674   5.91644214   5.3355827    4.41129859]"
2023-03-31,0.38315707187180664,0.81653335568429,67,477,0.044742294135022946,"[183.12927502  30.51302575  25.79928505  11.1001667    8.66866206
   6.96449889   6.37059666   5.92977196   5.33486492   4.35265293]"
2023-04-10,0.3829874251851149,0.825792925251643,67,477,0.044736483429027356,"[183.04819267  30.70619579  25.75032406  11.00187657   8.73759015
   7.10149692   6.44828008   5.92987943   5.32515887   4.33995918]"
2023-04-17,0.38325748344670324,0.8156181441101514,67,477,0.04474249714220806,"[183.17726656  30.77498318  25.53361916  10.91661315   8.74349974
   7.14592077   6.4645619    5.95766194   5.32961507   4.33181044]"
2023-04-24,0.3823265116089774,0.8278976051484256,68,477,0.044743262828754946,"[182.73231014  30.46892794  25.36282726  10.93573936   8.86668066
   7.19202569   6.4899055    6.0113203    5.35812579   4.34372379]"
2023-05-01,0.38317909198068556,0.8333034749319448,67,477,0.044752478015151934,"[183.13979949  30.42231451  25.14707041  10.91427776   8.8200032
   7.15498038   6.43111977   6.02158552   5.29921697   4.30008476]"
2023-05-08,0.38373402273245666,0.8369887375893744,68,477,0.044761829182204387,"[183.40502771  30.17451097  25.05924669  10.85042821   8.67855225
   7.1101733    6.31179965   5.99679019   5.26595076   4.29318691]"
2023-05-15,0.3818161084196253,0.8020935147297924,68,477,0.04475900380374029,"[182.4883638   30.01161097  25.16857401  10.87220399   8.73705728
   7.07882227   6.33446479   5.99428519   5.29799357   4.29792894]"
2023-05-22,0.38100170559223673,0.8200504733183948,68,477,0.044756617678853895,"[182.09912135  30.27794503  25.10671586  10.78581806   8.75246536
   7.04172198   6.31590034   6.0159976    5.27930977   4.29823967]"
2023-05-30,0.3801133176594187,0.8159620332271489,68,477,0.044751743258780716,"[181.67451784  30.42379414  24.92528323  10.77014366   8.75742561
   7.06321786   6.33330689   6.08107295   5.33007919   4.31902149]"
2023-06-06,0.38112918536485174,0.8167601758350045,68,477,0.0447511887573776,"[182.16005009  30.34177654  24.81181517  10.72488245   8.72063988
   7.12708296   6.37972523   6.06006963   5.30143239   4.29122588]"
2023-06-13,0.3808017695597829,0.8310582827862184,67,477,0.04475406620146607,"[182.00356226  30.347225    24.85450016  10.6224945    8.94608122
   7.15640416   6.43562878   6.03631126   5.22831397   4.28103028]"
2023-06-21,0.3816614774925654,0.8376490083526138,68,477,0.044755766179261885,"[182.41445821  30.31544623  24.22914882  10.62902277   8.95909969
   7.10778067   6.43926193   6.03709582   5.21975023   4.26372751]"
